bio_db_version,4:0:0,2022.12.29
bio_db_repo_version,22:12:29,2022.12.29
cgnc_galg_cgnc_curs,2,25916
cgnc_galg_cgnc_edat,2,25916
cgnc_galg_cgnc_ensg,2,15238
cgnc_galg_cgnc_name,2,25916
cgnc_galg_cgnc_ncbi,2,25916
cgnc_galg_cgnc_symb,2,25916
cgnc_galg_cgnc_syno,2,2960
ense_galg_ensg_chrl,5,30108
ense_galg_ensg_symb,2,13781
ense_galg_enst_chrl,5,72689
ense_galg_enst_ensg,2,72689
ense_gg6a_ensg_chrl,5,30862
ense_gg6a_ensg_symb,2,6480
ense_gg6a_enst_chrl,5,74296
ense_gg6a_enst_ensg,2,74296
ense_homs_ensg_chrl,5,62703
ense_homs_ensg_hgnc,2,41128
ense_homs_ensg_symb,2,41128
ense_homs_enst_chrl,5,252205
ense_homs_enst_ensg,2,252205
ense_musm_ensg_chrl,5,56980
ense_musm_ensg_mgim,2,55434
ense_musm_ensg_symb,2,56980
ense_musm_enst_chrl,5,149386
ense_musm_enst_ensg,2,149386
gont_galg_symb_gont,4,99010
gont_homs_edge_gisa,2,69328
gont_homs_edge_gnrg,2,3055
gont_homs_edge_gpof,2,7804
gont_homs_edge_gprg,2,3038
gont_homs_edge_greg,2,3503
gont_homs_gont_gonm,2,43272
gont_homs_gont_symb,3,332010
gont_homs_symb_gont,3,332010
gont_musm_gont_symb,4,432086
gont_musm_mgim_gont,4,432142
hgnc_homs_ccds_hgnc,2,19155
hgnc_homs_ensg_hgnc,2,40861
hgnc_homs_hgnc_ccds,2,19155
hgnc_homs_hgnc_chrb,2,43535
hgnc_homs_hgnc_ensg,2,40861
hgnc_homs_hgnc_name,2,43547
hgnc_homs_hgnc_ncbi,2,43501
hgnc_homs_hgnc_symb,2,43547
hgnc_homs_ncbi_hgnc,2,43501
hgnc_homs_ncbi_symb,2,43501
hgnc_homs_prev_symb,2,15412
hgnc_homs_symb_hgnc,2,43547
hgnc_homs_symb_ncbi,2,43501
hgnc_homs_syno_symb,2,43372
mgim_musm_mgim_chrl,5,675850
mgim_musm_mgim_genb,2,277228
mgim_musm_mgim_ncbi,2,718457
mgim_musm_mgim_symb,2,675850
mgim_musm_mgim_unip,2,16959
mgim_musm_symb_wdra,2,58669
mgim_musm_syno_mgim,2,256464
ncbi_homs_dnuc_symb,2,542105
ncbi_homs_ensg_ncbi,2,36435
ncbi_homs_ensp_ncbi,2,46781
ncbi_homs_ncbi_ensg,2,36435
ncbi_homs_ncbi_ensp,2,46781
ncbi_homs_rnuc_symb,2,397462
ncbi_musm_syno_symb,2,70020
pros_homs_pros_prsn,2,1846
pros_homs_pros_sprt,7,54453
strg_galg_edge_ensp,3,7821418
strg_galg_edge_symb,3,3910709
strg_galg_ensp_symb,2,15508
strg_homs_edge_ensp,3,11938498
strg_homs_edge_symb,3,5074563
strg_musm_edge_ensp,3,14496358
strg_musm_edge_symb,3,2205484
unip_galg_unip_ensp,2,73121
unip_galg_unip_gyno,2,1855
unip_galg_unip_ncbi,2,12690
unip_galg_unip_strp,2,13182
unip_galg_unip_symb,2,61674
unip_homs_ensp_unip,2,120124
unip_homs_hgnc_unip,2,81293
unip_homs_sprt_seqn,2,20404
unip_homs_trem_nucs,2,1037569
unip_homs_trem_seqn,2,186900
unip_homs_unip_hgnc,2,81293
unip_homs_unip_ncbi,2,33540
unip_musm_ensp_unip,2,67165
unip_musm_gyno_unip,2,28751
unip_musm_mgim_unip,2,80448
unip_musm_trem_nucs,2,129669
unip_musm_unip_ncbi,2,32775
unip_musm_unip_symb,2,83175
